,UbSt,Praf,Tage,MoSc,NaSc,Aus,Rei,Ver,G1,G2,G3,G4,G5,G6,G7,G8
UbSt,1,0.04,0.1,-0.01,0.01,-0.01,0.03,-0.02,-0.01,0.02,-0.02,0.01,-0.01,0.01,-0.01,0
Praf,0.04,1,0.56,0.02,-0.02,0.05,-0.05,0,0.01,0.06,-0.03,0,-0.05,0,0.03,-0.02
Tage,0.1,0.56,1,0.05,-0.05,0.19,-0.42,0.22,0,0.06,-0.01,-0.02,-0.01,0,0,-0.04
MoSc,-0.01,0.02,0.05,1,-1,-0.01,-0.02,0.03,0,-0.01,0.02,-0.04,0.02,-0.01,0,0.01
NaSc,0.01,-0.02,-0.05,-1,1,0.01,0.02,-0.03,0,0.01,-0.02,0.04,-0.02,0.01,0,-0.01
Aus,-0.01,0.05,0.19,-0.01,0.01,1,-0.42,-0.52,-0.03,-0.01,0.07,-0.05,0,-0.01,0.02,0
Rei,0.03,-0.05,-0.42,-0.02,0.02,-0.42,1,-0.56,0,-0.03,-0.05,0.02,-0.04,0.03,0.03,0.04
Ver,-0.02,0,0.22,0.03,-0.03,-0.52,-0.56,1,0.02,0.04,-0.02,0.03,0.04,-0.02,-0.05,-0.03
G1,-0.01,0.01,0,0,0,-0.03,0,0.02,1,-0.14,-0.15,-0.15,-0.15,-0.15,-0.14,-0.14
G2,0.02,0.06,0.06,-0.01,0.01,-0.01,-0.03,0.04,-0.14,1,-0.14,-0.14,-0.14,-0.14,-0.13,-0.13
G3,-0.02,-0.03,-0.01,0.02,-0.02,0.07,-0.05,-0.02,-0.15,-0.14,1,-0.15,-0.16,-0.15,-0.15,-0.15
G4,0.01,0,-0.02,-0.04,0.04,-0.05,0.02,0.03,-0.15,-0.14,-0.15,1,-0.15,-0.14,-0.14,-0.14
G5,-0.01,-0.05,-0.01,0.02,-0.02,0,-0.04,0.04,-0.15,-0.14,-0.16,-0.15,1,-0.15,-0.14,-0.14
G6,0.01,0,0,-0.01,0.01,-0.01,0.03,-0.02,-0.15,-0.14,-0.15,-0.14,-0.15,1,-0.14,-0.14
G7,-0.01,0.03,0,0,0,0.02,0.03,-0.05,-0.14,-0.13,-0.15,-0.14,-0.14,-0.14,1,-0.13
G8,0,-0.02,-0.04,0.01,-0.01,0,0.04,-0.03,-0.14,-0.13,-0.15,-0.14,-0.14,-0.14,-0.13,1
